Case_no,Feature,Chemistry,Pipe_OD,Pipe_WT,Yield_Strength,Tensile_Strength,C,Mn,S
1,JT-02,Filings,4.5,0.219,NA,NA,0.18522404584662722,0.5406135203440016,0.01874521937720445
2,JT-02,Filings,4.5,0.219,NA,NA,0.1538881101812009,0.5824556584860859,0.02125344773614075
3,JT-02,Filings,4.5,0.219,NA,NA,0.15431220992011851,0.5493084850958485,0.024233028647614122
4,JT-02,Filings,4.5,0.219,NA,NA,0.14829381192804814,0.5822861804544016,0.035582462264794786
5,JT-02,Filings,4.5,0.219,NA,NA,0.17954493270549587,0.5004155980734906,0.01879875952917779
6,JT-02,Filings,4.5,0.219,NA,NA,0.14590561223192824,0.5133522305999825,0.016715864210590563
7,JT-02,Filings,4.5,0.219,NA,NA,0.1782647131157744,0.5531174050175913,0.02253831998922949
8,JT-02,Filings,4.5,0.219,NA,NA,0.15809574025179124,0.6096853291099222,0.022912434818378024
9,JT-02,Filings,4.5,0.219,NA,NA,0.169951866697265,0.6103464309258722,0.023570183200209604
10,JT-02,Filings,4.5,0.219,NA,NA,0.1594503921655403,0.538771391766035,0.017951251556704066
11,JT-02,Filings,4.5,0.219,NA,NA,0.1333080383944092,0.5438363883314916,0.018583829470154297
12,JT-02,Filings,4.5,0.219,NA,NA,0.13560546934197498,0.5774756174972165,0.02687261585234535
13,JT-02,Filings,4.5,0.219,NA,NA,0.18346512259999767,0.5561517644111384,0.01697867599261678
14,JT-02,Filings,4.5,0.219,NA,NA,0.17193235912479904,0.5654473640342811,0.02409290301834483
15,JT-02,Filings,4.5,0.219,NA,NA,0.17330314233515384,0.6383879233540763,0.01906196621455543
16,JT-02,Filings,4.5,0.219,NA,NA,0.21325918799163124,0.5102112365006715,0.02628712129915951
17,JT-02,Filings,4.5,0.219,NA,NA,0.1402631936147399,0.5508733714547599,0.025734162636308133
18,JT-02,Filings,4.5,0.219,NA,NA,0.17934835805317334,0.5400818950081012,0.022985792349604003
19,JT-02,Filings,4.5,0.219,NA,NA,0.12899043739400823,0.5068361213106871,0.013089589683213875
20,JT-02,Filings,4.5,0.219,NA,NA,0.14139950561911502,0.544008468197085,0.009381174207395662
21,JT-02,Filings,4.5,0.219,NA,NA,0.1624781077754702,0.5976729733626533,0.017961601273430727
22,JT-02,Filings,4.5,0.219,NA,NA,0.1440767013218488,0.5521124003194966,0.024944713463761738
23,JT-02,Filings,4.5,0.219,NA,NA,0.14748425860864625,0.6063571838606728,0.011957501786063392
24,JT-02,Filings,4.5,0.219,NA,NA,0.1586538639621638,0.5449541664956461,0.0212147909539215
25,JT-02,Filings,4.5,0.219,NA,NA,0.15606311018927924,0.645611428610642,0.024131062288086147
26,JT-02,Filings,4.5,0.219,NA,NA,0.1853321781738329,0.46799181633898057,0.033067016921740314
27,JT-02,Filings,4.5,0.219,NA,NA,0.14187244847195585,0.5535289780568288,0.024655215899440613
28,JT-02,Filings,4.5,0.219,NA,NA,0.13671090524559737,0.4512289230000197,0.028736149270234275
29,JT-02,Filings,4.5,0.219,NA,NA,0.18990610650688688,0.5178663437529615,0.02141072315277053
30,JT-02,Filings,4.5,0.219,NA,NA,0.1539899575998479,0.5957152395325521,0.011187594988843955
31,JT-02,Filings,4.5,0.219,NA,NA,0.17132345269784074,0.6035006938594172,0.018148134417522
32,JT-02,Filings,4.5,0.219,NA,NA,0.11848154731650781,0.5306484017135464,0.01624012463661203
33,JT-02,Filings,4.5,0.219,NA,NA,0.1570112384477305,0.5381027692647964,0.018384244499962978
34,JT-02,Filings,4.5,0.219,NA,NA,0.16798635445608848,0.6566655896803321,0.020859225097852197
35,JT-02,Filings,4.5,0.219,NA,NA,0.18648436707364172,0.5094130926695232,0.021750939782749563
36,JT-02,Filings,4.5,0.219,NA,NA,0.19546924514231614,0.576256752115008,0.01785636001881891
37,JT-02,Filings,4.5,0.219,NA,NA,0.18877207712489688,0.4871740681094479,0.02559220049969861
38,JT-02,Filings,4.5,0.219,NA,NA,0.20361887547589713,0.516258976249267,0.013209725449246161
39,JT-02,Filings,4.5,0.219,NA,NA,0.16868273435861542,0.5535443640379324,0.024472268090676905
40,JT-02,Filings,4.5,0.219,NA,NA,0.15882534238629947,0.4846058892702345,0.023710637907783383
41,JT-02,Filings,4.5,0.219,NA,NA,0.217106273004138,0.5246603361797544,0.019673085935850553
42,JT-02,Filings,4.5,0.219,NA,NA,0.16887981894118698,0.45274891131561323,0.019727414507888646
43,JT-02,Filings,4.5,0.219,NA,NA,0.18377365952196173,0.4636476039537896,0.026539654383976995
44,JT-02,Filings,4.5,0.219,NA,NA,0.17186117247440205,0.5637415980068428,0.019186830519983617
45,JT-02,Filings,4.5,0.219,NA,NA,0.16723349811591964,0.6490857372634062,0.021690833649860946
46,JT-02,Filings,4.5,0.219,NA,NA,0.1597148251201212,0.4748262664521949,0.016339681567896103
47,JT-02,Filings,4.5,0.219,NA,NA,0.16432423596759388,0.5401686694571861,0.021433243632769657
48,JT-02,Filings,4.5,0.219,NA,NA,0.19625808707741957,0.4852202324903197,0.023636084845965452
