feature,chemistry,measurement,mean,stdev,numSamples
JT-02,,OD1,4.5,,
JT-04,,OD1,4.5,,
JT-05,,OD1,4.5,,
JT-02,,NWT1,0.219,,
JT-04,,NWT1,0.219,,
JT-05,,NWT1,0.141,,
JT-02,Filings,C,0.166,0.024,78
JT-04,Filings,C,0.166,0.024,78
JT-02,Filings,Mn,0.546,0.05,78
JT-04,Filings,Mn,0.536,0.05,78
JT-02,Filings,S,0.021,0.004,77
JT-04,Filings,S,0.016,0.004,77
JT-02,LIBS,C,0.149,0.045,94
JT-04,LIBS,C,0.166,0.045,94
JT-05,LIBS,C,0.189,0.044,94
JT-02,XRF,Mn,0.549,0.035,51
JT-04,XRF,Mn,0.53,0.035,51
JT-05,XRF,Mn,0.534,0.035,51
JT-02,XRF,S,0.027,0.007,38
JT-04,XRF,S,0.023,0.007,38
JT-05,XRF,S,0.025,0.007,38
JT-04,,UTS,72.7,3.99,83
JT-04,,YS,55.1,6.22,83
